Power Usage,Residuallast,Pumpspeicher,Wind Offshore,Wind Onshore,Photovoltaik
52153,48824,3318,102,3228,0
53007,49575,3324,110,3322,0
55960,52299,2298,90,3572,0
63540,59893,952,99,3548,0
71056,67543,95,104,3409,0
73628,70100,61,96,3281,152
73931,69996,1,76,3005,856
74997,70570,3,72,2607,1748
75687,70904,9,60,2289,2434
74997,70467,15,45,2015,2472
74532,70458,17,32,1920,2123
73975,70546,17,25,1884,1520
73211,70630,19,14,1884,683
72891,70763,29,10,1993,125
75651,73428,62,9,2207,6
75593,73239,62,7,2347,0
73481,71181,61,2,2298,0
69349,67175,254,1,2173,0
65786,63681,229,4,2102,0
63221,61286,515,11,1924,0
58808,57008,1033,6,1794,0
55062,53395,1943,2,1664,0
53035,51468,2462,2,1565,0
52018,50529,3372,2,1487,0
52321,50847,3390,3,1471,0
53342,51829,2907,3,1510,0
56222,54798,2472,2,1422,0
63516,62096,919,3,1416,0
70883,69489,95,2,1393,0
73500,72194,103,3,1257,47
73586,72187,30,19,1030,350
74608,72867,39,50,873,819
74984,72879,23,80,751,1275
74107,71828,197,122,673,1485
72893,70680,68,189,623,1401
71574,69724,50,242,585,1023
70635,69255,35,273,599,508
70771,69650,32,372,649,100
73778,72700,5,331,740,7
73501,72299,55,364,839,0
70966,69510,199,424,1032,0
66568,64632,355,461,1475,0
63202,60577,139,476,2149,0
61138,57842,290,487,2810,0
57989,54064,660,487,3439,0
54993,50582,796,484,3928,0
52531,47711,1999,492,4328,0
53475,47933,2943,496,5046,0
53821,47175,2434,502,6144,0
53771,46414,2186,510,6847,0
51931,44421,2166,513,6998,0
50385,42472,1938,510,7403,0
53842,45756,1573,498,7588,0
57575,49510,296,456,7452,157
61126,52813,47,392,7184,737
63459,55197,87,410,6631,1221
64882,56986,31,450,5717,1730
64272,56851,136,470,4935,2017
62043,54950,199,416,4757,1920
60453,54294,171,487,4349,1324
59493,53986,11,457,4416,635
59800,54475,161,458,4776,90
63792,58166,146,426,5197,4
64729,58449,172,529,5751,0
62446,55754,310,527,6165,0
58399,51370,479,507,6522,0
55997,48879,73,553,6566,0
55706,48639,196,576,6491,0
52929,45433,830,625,6871,0
49680,42072,1088,623,6985,0
